message_id,date,sender_id,message,media_path,youtube_link
12371,2024-10-10 04:07:50+00:00,-1001666492664,"pediasure 3
price 5000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12371.jpg,
12370,2024-10-10 04:07:50+00:00,-1001666492664,"fish oil 150 softgels 
price 4000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12370.jpg,
12369,2024-10-10 04:07:50+00:00,-1001666492664,"centrum men 50
price 5700 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12369.jpg,
12368,2024-10-09 16:34:50+00:00,-1001666492664,"prenatal 150 softgels 
price 5500 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12368.jpg,
12367,2024-10-09 15:22:01+00:00,-1001666492664,"nido 18kg 
price 4500 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12367.jpg,
12366,2024-10-09 12:44:53+00:00,-1001666492664,"sulfur8 205g
price 3000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12366.jpg,
12365,2024-10-09 12:44:53+00:00,-1001666492664,"chia seeds 
price 3000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12365.jpg,
12364,2024-10-09 12:44:53+00:00,-1001666492664,"glucosamine 1000mg100mg 90 capsules 
price 5000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12364.jpg,
12363,2024-10-09 12:44:53+00:00,-1001666492664,"sudo cream 
price 4000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12363.jpg,
12362,2024-10-09 12:44:53+00:00,-1001666492664,"coconut oil 
price 4500 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12362.jpg,
12361,2024-10-09 12:44:53+00:00,-1001666492664,"apple cider venegar 
price 2800 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12361.jpg,
12360,2024-10-09 12:44:53+00:00,-1001666492664,"tums 100 chewable tablets 
price 1800 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12360.jpg,
12359,2024-10-09 12:44:53+00:00,-1001666492664,"green tea
price 3500 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12359.jpg,
12358,2024-10-09 11:56:37+00:00,-1001666492664,"ensure 850gm
price 3800 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12358.jpg,
12357,2024-10-09 11:56:37+00:00,-1001666492664,"similac advance 
price 3700 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12357.jpg,
12356,2024-10-09 11:56:37+00:00,-1001666492664,"glucerna 
price 3300 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12356.jpg,
12355,2024-10-09 11:56:37+00:00,-1001666492664,"enfamil a plus 765gm 
price 5500 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12355.jpg,
